,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_ANOM,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,CREDIT_INCOME_BY_AGE,ANNUITY_INCOME_BY_AGE,INCOME_TO_FAMILYSIZE
22835,265993,0,F,0,1,0,157500.0,809136.0,35770.5,643500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0228,-15034,-498.0,-9172.0,-2669,,1,1,0,1,0,1,,2.0,2,2,SUNDAY,8,0,0,0,0,0,0,Business Entity Type 3,0.5824773442174692,0.664948431698457,0.6940926425266661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2562.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,False,5.137371428571429,0.2271142857142857,0.04420826659547962,0.033124916855128375,-0.00034171687033200936,-1.5106710503810411e-05,78750.0
24533,278840,0,F,0,0,0,90000.0,853200.0,27652.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-15179,-2605.0,-3977.0,-4893,,1,1,1,1,1,0,Sales staff,2.0,3,3,THURSDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.1624516977552755,0.3416686734330512,0.8193176922872417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2145.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,False,9.48,0.30725,0.03241033755274261,0.17161868370775413,-0.0006245470716120957,-2.0241781408524937e-05,45000.0
25916,288599,0,F,0,1,0,157500.0,622413.0,31909.5,495000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0066709999999999,-23675,,-11243.0,-4349,,1,0,0,1,1,0,,2.0,2,2,SATURDAY,14,0,0,0,0,0,0,XNA,0.8318092448095796,0.5458438921778949,0.746300213050371,0.0186,0.0542,0.9846,0.7892,0.0161,0.0,0.1034,0.0417,0.0417,0.0316,0.0151,0.017,0.0,0.0,0.0189,0.0563,0.9846,0.7975,0.0162,0.0,0.1034,0.0417,0.0417,0.0323,0.0165,0.0177,0.0,0.0,0.0187,0.0542,0.9846,0.792,0.0162,0.0,0.1034,0.0417,0.0417,0.0322,0.0154,0.0173,0.0,0.0,reg oper account,block of flats,0.0134,"Stone, brick",No,0.0,0.0,0.0,0.0,-238.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.9518285714285715,0.2026,0.0512674060471102,,-0.0001669198974204254,-8.557550158394932e-06,78750.0
27799,302856,0,F,1,0,1,225000.0,1812456.0,56254.5,1620000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.072508,-14658,-479.0,-8540.0,-4540,7.0,1,1,1,1,1,0,,3.0,1,1,MONDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.7148279547128353,0.6120937017989748,0.5513812618027899,0.0371,0.0,0.9747,0.6532,0.0031,0.0,0.1034,0.0833,0.125,0.049,0.0303,0.02,0.0,0.0,0.0378,0.0,0.9747,0.6668,0.0032,0.0,0.1034,0.0833,0.125,0.0502,0.0331,0.0208,0.0,0.0,0.0375,0.0,0.9747,0.6578,0.0032,0.0,0.1034,0.0833,0.125,0.0499,0.0308,0.0203,0.0,0.0,reg oper account,block of flats,0.024,"Stone, brick",No,0.0,0.0,0.0,0.0,-1817.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False,8.05536,0.25002,0.031037718984626386,0.03267840087324328,-0.0005495538272615637,-1.7056897257470326e-05,75000.0
28440,307537,0,M,1,1,0,225000.0,450000.0,53536.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.028663,-15858,-3523.0,-8579.0,-4205,3.0,1,1,0,1,0,1,Laborers,1.0,2,2,MONDAY,9,0,0,0,0,1,1,Construction,,0.5207095629083711,0.4596904504249018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-274.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False,2.0,0.23794,0.11897,0.22215916256778911,-0.0001261193088661874,-1.5004414175810318e-05,225000.0
28617,308755,0,F,0,1,0,112500.0,248760.0,26919.0,225000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.00733,-19229,-1907.0,-3956.0,-2751,,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.608814463672902,0.3804394774548336,0.3893387918468769,0.0742,0.0,0.9935,0.9116,0.0114,0.0,0.1379,0.2083,0.25,0.0557,0.0605,0.0762,0.0,0.0,0.0756,0.0,0.9935,0.9151,0.0115,0.0,0.1379,0.2083,0.25,0.0569,0.0661,0.0794,0.0,0.0,0.0749,0.0,0.9935,0.9128,0.0115,0.0,0.1379,0.2083,0.25,0.0566,0.0616,0.0776,0.0,0.0,reg oper account,block of flats,0.0662,Panel,No,5.0,0.0,4.0,0.0,-1458.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False,2.2112,0.23928,0.10821273516642547,0.09917312392740132,-0.00011499297935410057,-1.2443704820843517e-05,56250.0
30815,323871,0,F,1,1,0,67500.0,276277.5,15988.5,238500.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.022625,-11036,-3133.0,-797.0,-2114,17.0,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.5317403345083952,0.7060291592067234,0.7610263695502636,0.0876,0.0,0.9776,0.6940000000000001,0.1168,0.0,0.2069,0.1667,0.2083,0.0,0.0714,0.0812,0.0,0.0,0.0893,0.0,0.9777,0.706,0.1179,0.0,0.2069,0.1667,0.2083,0.0,0.0781,0.0846,0.0,0.0,0.0885,0.0,0.9776,0.6981,0.1175,0.0,0.2069,0.1667,0.2083,0.0,0.0727,0.0826,0.0,0.0,reg oper account,block of flats,0.0639,Panel,No,0.0,0.0,0.0,0.0,-737.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False,4.093,0.23686666666666667,0.05787116214675462,0.2838890902500906,-0.0003708771293947082,-2.1463090491724056e-05,33750.0
32005,333096,0,M,1,1,1,202500.0,550980.0,43659.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005084,-10639,-1725.0,-3295.0,-3295,7.0,1,1,0,1,0,0,Drivers,3.0,2,2,MONDAY,13,0,0,0,1,1,0,Transport: type 3,0.1415967056857408,0.4586519912748643,0.3185955240537633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-727.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False,2.7208888888888887,0.2156,0.07923881084612872,0.16213929880627878,-0.00025574667627492137,-2.0265062505874615e-05,67500.0
32261,334873,0,F,0,1,0,90000.0,85500.0,10273.5,85500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.005144,-18552,-778.0,-6553.0,-2096,,1,1,1,1,1,0,Core staff,2.0,2,2,THURSDAY,13,0,0,0,0,0,0,Hotel,0.4941159764033936,0.5794085113618647,0.2822484337007223,0.0536,0.0,0.9752,,,0.0,0.1034,0.1667,,0.0113,,0.0439,,0.0203,0.0546,0.0,0.9752,,,0.0,0.1034,0.1667,,0.0116,,0.0458,,0.0215,0.0541,0.0,0.9752,,,0.0,0.1034,0.1667,,0.0115,,0.0447,,0.0207,,block of flats,0.039,"Stone, brick",No,0.0,0.0,0.0,0.0,-2730.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,False,0.95,0.11415,0.1201578947368421,0.0419361793876671,-5.120741699008193e-05,-6.152975420439845e-06,45000.0
33278,342527,0,F,0,1,1,117000.0,746280.0,59094.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-10493,-851.0,-1829.0,-904,,1,1,0,1,0,1,Sales staff,3.0,3,3,SATURDAY,6,0,0,0,1,1,0,Self-employed,0.3523710251591843,0.4775535072048791,0.3910549766342248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,-600.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,False,6.378461538461538,0.5050769230769231,0.07918475639170285,0.08110168683884494,-0.000607877779325411,-4.813465387181198e-05,39000.0
34316,350582,0,F,1,1,1,157500.0,331920.0,16096.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.00823,-12556,-3107.0,-6235.0,-1874,65.0,1,1,0,1,0,1,Accountants,3.0,2,2,TUESDAY,11,0,0,0,0,1,1,Self-employed,0.3257070820575579,0.4840658134888868,0.5154953751603267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,False,2.107428571428571,0.1022,0.048495119305856836,0.24745141764893278,-0.00016784235197742683,-8.13953488372093e-06,52500.0
35456,359523,0,F,0,1,0,270000.0,1350000.0,46926.0,1350000.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.006629,-10619,-1121.0,-5006.0,-1477,,1,1,0,1,0,0,Core staff,1.0,2,2,WEDNESDAY,5,0,0,0,0,0,0,Trade: type 7,0.4478499999262142,0.7104573252046082,0.1884895337951677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-638.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,False,5.0,0.1738,0.03476,0.10556549580939825,-0.00047085412939071476,-1.6366889537621245e-05,270000.0
38038,378945,0,F,0,1,0,135000.0,582804.0,29884.5,463500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Municipal apartment,0.010032,-15437,-399.0,-60.0,-3778,,1,1,0,1,0,1,Cleaning staff,2.0,2,2,TUESDAY,5,0,0,0,0,0,0,Trade: type 7,0.5147516819232906,0.6548981705466693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-575.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,4.317066666666666,0.22136666666666666,0.0512771017357465,0.025846990995659777,-0.00027965710090475265,-1.4340005614216924e-05,67500.0
38327,381460,0,F,1,0,1,202500.0,284031.0,15538.5,229500.0,Family,Working,Higher education,Married,House / apartment,0.04622,-11481,-1659.0,-5262.0,-3608,22.0,1,1,0,1,0,0,,3.0,1,1,MONDAY,11,0,0,0,0,1,1,Industry: type 1,0.2944309616799203,0.5392389430051604,,0.0928,0.1004,0.9796,,,0.0,0.2069,0.1667,,0.0181,,0.0607,,0.0974,0.0945,0.1041,0.9796,,,0.0,0.2069,0.1667,,0.0185,,0.0632,,0.1031,0.0937,0.1004,0.9796,,,0.0,0.2069,0.1667,,0.0184,,0.0618,,0.0995,,block of flats,0.0689,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,1.4026222222222222,0.07673333333333333,0.05470705662410089,0.14449960804807943,-0.00012216899418362705,-6.683506082513138e-06,67500.0
38620,384201,0,M,0,1,0,180000.0,440784.0,34956.0,360000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.00702,-9729,-1231.0,-2414.0,-2414,,1,1,0,1,0,0,Cooking staff,1.0,2,2,TUESDAY,14,0,0,0,0,0,0,Restaurant,,0.4957596742145826,0.3910549766342248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-874.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,False,2.4488,0.1942,0.07930414897092454,0.12652893411450303,-0.0002517010998047076,-1.9960941515058075e-05,180000.0
39777,392939,0,M,1,1,1,225000.0,746280.0,54306.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Office apartment,0.016612,-10735,-2926.0,-5016.0,-3071,3.0,1,1,1,1,0,0,Managers,3.0,2,2,TUESDAY,15,0,0,0,0,1,1,Trade: type 7,,0.486250641453933,0.6058362647264226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1377.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,False,3.3168,0.24136,0.07276893391220453,0.27256637168141595,-0.0003089706567303214,-2.2483465300419188e-05,75000.0
39920,393950,0,F,1,1,0,135000.0,664884.0,26824.5,495000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-23528,,-7381.0,-4416,21.0,1,0,0,1,0,0,,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,0.856341489152568,0.5323806585802321,0.7106743858828587,0.0536,0.0515,0.9896,0.8572,0.0189,0.08,0.069,0.3333,0.375,0.0618,0.0437,0.0695,0.0,0.0,0.0546,0.0534,0.9896,0.8628,0.0191,0.0806,0.069,0.3333,0.375,0.0632,0.0478,0.0724,0.0,0.0,0.0541,0.0515,0.9896,0.8591,0.019,0.08,0.069,0.3333,0.375,0.0629,0.0445,0.0707,0.0,0.0,reg oper spec account,block of flats,0.0778,Panel,No,0.0,0.0,0.0,0.0,-2439.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,4.925066666666667,0.1987,0.04034463154475066,,-0.00020932789300691376,-8.445256715402924e-06,67500.0
42156,408273,0,F,1,1,0,135000.0,1094688.0,39451.5,945000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.016612,-21557,,-1205.0,-4684,4.0,1,0,0,1,1,1,,2.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,,0.5185043369607307,0.6817058776720116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-948.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,False,8.1088,0.29223333333333334,0.036039035780057876,,-0.0003761562369531939,-1.3556308082448084e-05,67500.0
42403,409804,0,F,0,1,0,157500.0,525735.0,48348.0,450000.0,Family,State servant,Higher education,Married,House / apartment,0.003069,-12032,-640.0,-210.0,-4067,,1,1,0,1,0,0,,2.0,3,3,WEDNESDAY,17,0,0,0,0,0,0,Kindergarten,0.260938274669289,0.6123792303910497,0.470456116119975,0.0773,0.0892,0.9841,,,0.0,0.2069,0.1667,,,,0.0392,,0.0,0.0788,0.0926,0.9841,,,0.0,0.2069,0.1667,,,,0.0409,,0.0,0.0781,0.0892,0.9841,,,0.0,0.2069,0.1667,,,,0.0399,,0.0,,block of flats,0.0563,"Stone, brick",No,3.0,0.0,3.0,0.0,-364.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.338,0.30697142857142856,0.09196268081828297,0.05319148936170213,-0.00027742686170212767,-2.55129179331307e-05,78750.0
43722,418614,0,M,1,0,1,202500.0,225000.0,24363.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Rented apartment,0.072508,-15558,-1735.0,-2629.0,-2847,10.0,1,1,1,1,0,0,Low-skill Laborers,3.0,1,1,MONDAY,17,0,0,0,0,0,0,Industry: type 3,,0.7063467651895643,0.1411151004466126,0.0718,0.081,0.9702,0.5920000000000001,0.0,0.12,0.069,0.2917,0.3333,0.0898,0.0569,0.0944,0.0077,0.0678,0.0389,0.0456,0.9702,0.608,0.0,0.0403,0.0345,0.25,0.2917,0.0459,0.0321,0.0477,0.0078,0.0414,0.0708,0.0812,0.9702,0.5975,0.0,0.12,0.069,0.2917,0.3333,0.0861,0.0564,0.0922,0.0078,0.0591,reg oper spec account,block of flats,0.0445,"Stone, brick",No,0.0,0.0,0.0,0.0,-1032.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.1111111111111112,0.1203111111111111,0.10828,0.11151818999871449,-7.141734870234678e-05,-7.733070517490109e-06,67500.0
44063,421978,0,F,0,0,2,81000.0,312768.0,24840.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008575,-11513,-1465.0,-1228.0,-1430,,1,1,0,1,0,0,Managers,4.0,2,2,WEDNESDAY,16,0,0,0,1,1,0,Military,0.2815435718506611,0.0482201965052154,0.363945238612397,0.0124,,0.9697,0.5852,,0.0,0.069,0.0417,,0.0589,0.0101,0.008,,0.0038,0.0126,,0.9697,0.6014,,0.0,0.069,0.0417,,0.0603,0.011,0.0083,,0.004,0.0125,,0.9697,0.5907,,0.0,0.069,0.0417,,0.0599,0.0103,0.0081,,0.0039,reg oper account,block of flats,0.0097,"Stone, brick",No,2.0,0.0,2.0,0.0,-516.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.8613333333333335,0.30666666666666664,0.07941988950276244,0.12724745939372883,-0.000335388980572686,-2.6636555777526852e-05,20250.0
44593,425948,0,F,0,0,0,220500.0,271066.5,21546.0,234000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.00496,-18311,-931.0,-1338.0,-1317,,1,1,0,1,0,0,Medicine staff,2.0,2,2,SATURDAY,15,0,0,0,0,0,0,Business Entity Type 3,0.7211014448123808,0.4321148206833724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-312.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,1.229326530612245,0.09771428571428571,0.0794860301807859,0.0508437551198733,-6.71359582006578e-05,-5.336370799753465e-06,110250.0
44902,428933,0,M,0,0,2,193500.0,547344.0,28075.5,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00823,-14484,-1892.0,-8538.0,-4845,,1,1,0,1,0,0,Laborers,4.0,2,2,WEDNESDAY,11,0,0,0,0,1,1,Business Entity Type 3,,0.337925679202457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-803.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,False,2.8286511627906976,0.14509302325581394,0.051294067350697185,0.13062689864678265,-0.0001952948883451186,-1.00174691560214e-05,48375.0
45020,429708,0,F,0,1,0,225000.0,1001416.5,32305.5,813496.5,Children,Working,Secondary / secondary special,Separated,House / apartment,0.010006,-19832,-4352.0,-4441.0,-3381,,1,1,0,1,0,0,,1.0,2,2,FRIDAY,12,0,0,0,0,0,0,Kindergarten,0.8511858146125992,0.5807348568237216,0.2896112383820055,0.1082,,0.9935,,,0.12,0.1034,0.3333,,,,0.1313,,0.1127,0.1103,,0.9935,,,0.1208,0.1034,0.3333,,,,0.1368,,0.1193,0.1093,,0.9935,,,0.12,0.1034,0.3333,,,,0.1336,,0.1151,,block of flats,0.1277,Panel,No,8.0,1.0,8.0,0.0,-2625.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,False,4.45074,0.14358,0.03225980398765149,0.21944332392093585,-0.00022442214602662363,-7.239814441306979e-06,225000.0
45445,432551,0,M,0,1,3,450000.0,440784.0,28300.5,360000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.031329,-16222,-1849.0,-932.0,-5328,,1,1,0,1,0,0,Managers,4.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.7440920509799845,0.4914196998606572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-564.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,0.97952,0.06289,0.06420491669389089,0.11398101343854025,-6.0382197016397485e-05,-3.876833929231907e-06,112500.0
45548,433169,0,M,1,1,0,157500.0,358344.0,26203.5,283500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-21786,,-13713.0,-4445,10.0,1,0,0,1,0,0,,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,XNA,,0.6297766079899384,0.5460231970049609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,1.0,-630.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0,False,2.2752,0.16637142857142856,0.07312386980108498,,-0.00010443404020930873,-7.636621159066767e-06,78750.0
45594,433432,0,M,1,1,1,225000.0,573408.0,29407.5,495000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.009334,-8658,-301.0,-1650.0,-1346,6.0,1,1,0,1,0,1,High skill tech staff,3.0,2,2,MONDAY,14,0,0,0,0,0,0,Construction,0.5842068682208091,0.5595638015383632,0.1301285429480269,0.0619,0.0627,0.9811,0.7416,0.0079,0.0,0.1379,0.1667,0.0,,0.0504,0.0543,0.0,0.0,0.063,0.0651,0.9811,0.7517,0.008,0.0,0.1379,0.1667,0.0,,0.0551,0.0566,0.0,0.0,0.0625,0.0627,0.9811,0.7451,0.008,0.0,0.1379,0.1667,0.0,,0.0513,0.0553,0.0,0.0,reg oper spec account,block of flats,0.0427,Panel,No,2.0,0.0,2.0,0.0,-888.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False,2.54848,0.1307,0.05128547212456052,0.03476553476553477,-0.00029434973434973435,-1.5095865095865097e-05,75000.0
48730,456122,0,M,1,0,2,157500.0,445095.0,40824.0,405000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.016612,-16019,-3759.0,-9385.0,-5120,11.0,1,1,1,1,1,0,Laborers,4.0,2,2,MONDAY,10,1,1,0,1,1,0,Self-employed,0.440055669290773,0.4081467249245,0.4596904504249018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-786.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,False,2.826,0.2592,0.09171974522292993,0.23465884262438355,-0.0001764155065859292,-1.6180785317435543e-05,39375.0
